,y
661,0.06600734763382443
1934,0.09437550683300366
1046,0.05535699034819308
3069,0.06352968662983738
2212,0.04185857371019608
1871,0.03808730798466686
87,0.028311403330078533
3710,0.10117409218852412
1025,0.13065658363908694
3107,0.0858136566268406
1015,0.08816692742873866
2192,0.05725478128489201
3765,0.04582136128836678
11,0.04831394667096667
1280,0.07330848112341848
2026,0.0640717845595028
2615,0.02486918525498072
1307,0.18533847896384625
3652,0.05355366099592851
1508,0.07030252691906469
403,0.06818666478269797
888,0.07576981746004086
3085,0.05558045594899996
2139,0.047188628999056285
2159,0.06615957984567168
1482,0.0659628920854981
790,0.05501099411989342
3381,0.18027158026980328
1350,0.06130785948237316
3397,0.16893600011327106
2166,0.06471646291448553
3076,0.05799413435116485
27,0.059114959214561676
3744,0.0936631623004658
3737,0.0940270415354697
2808,0.040291506182747794
2263,0.11028551535377328
1911,0.062140028507259075
698,0.056296952159828224
2091,0.05930360350980324
2789,0.049237715622844624
787,0.05497497865158907
1515,0.05185444020799968
1601,0.05116317939919779
3168,0.04693531677475804
3855,0.1545327476512337
2148,0.041693860320415006
797,0.05124809003015174
625,0.08829840539375211
464,0.052040566827738166
2671,0.04221615537918666
1920,0.06022335653973021
1110,0.09816477971959392
3127,0.05092952738629775
1700,0.08691037248787614
1653,0.05140300691692057
1039,0.14087648160712296
1883,0.05384872055952905
1221,0.060612069502774764
1726,0.06333115863662264
3391,0.1645852064339942
461,0.05266047706833177
3182,0.029577201104784127
317,0.04889398963415415
2209,0.050491254598271966
3774,0.040391065828841
1959,0.04281819142547205
2498,0.12828150761135182
1960,0.04247931725798959
1203,0.06273286029704728
1385,0.11497040144379354
31,0.05792581210654513
1405,0.0598300631287978
1637,0.07502710636692123
74,0.04568888684486416
3050,0.06063669386262571
1803,0.051162023362928966
2365,0.046887972665704436
2313,0.06702503660211367
3703,0.09906708330563774
44,0.049193088907788174
2455,0.05853711733977561
1942,0.08699519366837105
2790,0.0490789044245834
3638,0.059232032597697375
1644,0.07132755548006331
3852,0.15248559826732433
1762,0.05919234417792274
930,0.021663971097410358
1865,0.04240936636048465
2419,0.051681570000249866
962,0.11011334486277413
169,0.05988546706778286
2583,0.10507151498840904
3042,0.040598949795350385
717,0.06544894612818297
3482,0.024361549054233368
3357,0.08078936092207722
1151,0.06877090958424414
2665,0.046525488690195904
524,0.062210843649145524
3480,0.039168664865770086
2142,0.04562191525636361
2691,0.04132914223098838
1864,0.0427356052552067
1236,0.06788026513351998
1432,0.06318947704801647
1354,0.06106478275008642
1608,0.04711238502952952
2586,0.11122165628030234
2349,0.02591282735476641
243,0.056665713373640784
3028,0.046597515047514304
3568,0.03859548238072075
21,0.05993439026041891
559,0.054728221800672605
2125,0.06898669494055731
2481,0.06077659441885664
2061,0.2892078873132855
964,0.10994883121420462
3590,0.049436784714789295
1969,0.06593151112391082
1725,0.06365786922128548
3034,0.04459285576165839
379,0.05033423831862482
817,0.04267447431329319
1935,0.09420754236446403
1104,0.038319350592447836
3367,0.06772728572260589
525,0.05045961743956817
3534,0.048312796649906516
1528,0.04776330092280778
1202,0.06306436877272736
682,0.048666615518052514
1460,0.05229329701797625
132,0.04201859515894557
2575,0.11033833851765272
3315,0.042469106844853936
795,0.05191592210274743
3574,0.05539239618997305
1007,0.08511379319633405
2425,0.04816035566274601
1445,0.05022358641765812
269,0.0383747279027874
963,0.11044182890468113
875,0.15799848234267833
348,0.08750975315508269
3393,0.16697949373144494
3424,0.06230475154379134
3047,0.02462217514735565
219,0.04670670522874032
748,0.07042163873601126
2679,0.04775316506628746
271,0.030187550273680475
1049,0.05452118457588273
1298,0.047247311953345535
3819,0.09971018296013978
1582,0.05817482903823335
3284,0.04896439340800651
285,0.1992944050724744
774,0.04976923537587363
2784,0.05462466127162746
914,0.0482039763189539
460,0.02361653872979863
1659,0.049166836363854334
1028,0.1303636385817668
2011,0.2818826803331135
1785,0.10157902533619144
200,0.04509650767545237
742,0.07111014495656852
2843,0.04545282452750021
2090,0.05928862881220898
3230,0.2460202203341381
836,0.05298856315425937
2466,0.053981036078912026
1290,0.06815420760330526
3079,0.0569582801061701
998,0.08252922461994182
892,0.07498311353948961
3474,0.04212003499847428
3531,0.049283398595123984
1180,0.07661621872851654
498,0.2270785759885973
3488,0.2650872734185885
3272,0.042572575183381985
3406,0.1802536720535884
3554,0.04630354905012879
608,0.05078995706276089
2396,0.20948801934929265
2810,0.02396399331834476
1740,0.05054304075563587
1118,0.09666488918111572
743,0.07108541513378575
3558,0.04509673226706768
453,0.044021483405951016
1687,0.03953878944134681
1919,0.0600661228128272
10,0.049185358197041285
3798,0.12549701840894334
906,0.07342034586160029
2430,0.054709527673093006
2734,0.04087669378897485
1195,0.06604232935121424
3670,0.05641827746847172
2903,0.05868987157455041
2434,0.05327250788166349
3324,0.022197278762296047
3659,0.059715958266740025
3651,0.05388738406329874
3372,0.16334215443730027
978,0.17065617548162604
2174,0.06194058067907793
3373,0.16458149220587634
1993,0.20247753582255493
3080,0.05661639981998845
1647,0.07102704651293634
3617,0.057522738070357786
3202,0.1534501556369653
229,0.05880135100496841
1496,0.07567557149883941
2065,0.17659899642942045
1837,0.07408873297790741
3529,0.050060085168070256
1368,0.30000546419316104
3854,0.15363460507047064
1107,0.09859614547651696
1005,0.08523310203986267
2004,0.2434090545953869
1040,0.14162379062271524
2013,0.2759187856883576
670,0.06436802776540718
3720,0.06606941884075401
1274,0.06285416771335994
2988,0.04429066866871256
2328,0.06705303133261731
2649,0.04761849510902905
531,0.047612489965271454
2410,0.2973822307763281
434,0.0495815449310929
96,0.1596770883449169
2362,0.04778705237792436
802,0.05120195555676699
260,0.042849658859296036
2871,0.0953467936161252
529,0.0488267984940467
195,0.04840955515119383
1930,0.09628335643094477
2173,0.0621411979893155
2791,0.04879022405003197
2602,0.04486049835778838
2711,0.0479330393896632
3689,0.04217559585835495
885,0.2859398504564049
3382,0.18187913584565496
2280,0.08826067939938652
3428,0.06151823507722221
536,0.044044342297827284
3619,0.05720297064085321
1304,0.18386725855886554
2684,0.045559255076242144
148,0.049188172845482166
530,0.04852308813105133
2185,0.05782002196589898
2933,0.045256268164905016
2682,0.046802488505579436
754,0.06859826023523052
2807,0.040447529508925606
2666,0.046207184267013424
1225,0.05931498572451033
872,0.1542104127738977
2387,0.0430108449662977
3656,0.0432149985768302
2803,0.04349504525081493
816,0.042994404748612935
2271,0.11355788941199607
1807,0.04757395404802445
1379,0.11142442570493916
2134,0.0651416869609891
1136,0.18833410297488384
1006,0.08489331705822145
